itemID,name,price,rackID,quantity
1,Zathin,757,6,6746
2,Flowdesk,622,1,3353
3,Veribet,778,4,4988
4,Viva,245,6,5713
5,Pannier,296,10,8564
6,Cookley,46,8,7894
7,Bamity,249,7,4572
8,Asoka,867,9,6941
9,Home Ing,921,5,2718
10,Wrapsafe,514,10,3839
11,Asoka,254,5,5269
12,Cardify,743,1,9930
13,Voltsillam,285,4,7563
14,Gembucket,873,1,8360
15,Tampflex,193,10,2374
16,Bamity,298,5,1462
17,Keylex,427,10,3705
18,Y-Solowarm,813,10,6835
19,Quo Lux,682,5,267
20,Matsoft,666,9,8049
21,Overhold,343,2,8779
22,Andalax,272,3,603
23,Alpha,359,4,2332
24,Redhold,969,9,9950
25,Otcom,656,1,4107
26,Trippledex,394,2,6721
27,Veribet,167,2,9985
28,Bitchip,286,2,2567
29,Alpha,187,1,1662
30,Zathin,391,8,7421
31,Overhold,469,9,2061
32,Y-find,263,8,9086
33,Konklux,561,10,4042
34,Transcof,706,1,5085
35,Bitwolf,799,1,3935
36,Job,687,4,3421
37,Transcof,657,7,6881
38,Konklux,134,9,2943
39,Matsoft,711,1,9839
40,Asoka,379,4,9840
41,Wrapsafe,966,6,6542
42,Kanlam,731,8,9665
43,Prodder,427,8,3210
44,Home Ing,767,5,4018
45,Biodex,699,3,7256
46,Toughjoyfax,471,2,4310
47,Span,947,4,5652
48,It,750,2,4387
49,Tresom,521,7,1967
50,Aerified,292,2,6304
51,Stim,587,7,8780
52,Tampflex,804,7,6276
53,Zontrax,491,2,7370
54,Alpha,797,1,5436
55,Fix San,634,8,5008
56,Ronstring,22,5,3047
57,Fintone,711,10,753
58,Overhold,89,8,7095
59,Bytecard,817,7,6965
60,Opela,63,6,4700
61,Cardify,471,10,6449
62,Stringtough,690,4,8775
63,Rank,513,3,6971
64,Rank,449,7,9352
65,Holdlamis,432,2,2170
66,Toughjoyfax,340,3,6265
67,Tresom,93,2,6668
68,Zamit,524,2,6263
69,Stronghold,469,10,201
70,Stim,36,5,3209
71,Flowdesk,78,5,5168
72,Lotstring,246,1,3425
73,Matsoft,333,2,4257
74,Solarbreeze,531,7,6490
75,Opela,300,1,8797
76,Tres-Zap,932,2,9734
77,Stronghold,1000,6,744
78,Y-Solowarm,178,4,5993
79,Biodex,406,5,4609
80,Veribet,296,5,7908
81,Rank,698,6,8199
82,Greenlam,388,5,3510
83,Asoka,300,3,3359
84,Overhold,552,3,6333
85,Zamit,968,5,8733
86,Zathin,885,7,5358
87,Greenlam,954,7,197
88,Kanlam,330,10,3828
89,Prodder,197,9,5088
90,Toughjoyfax,212,4,9252
91,Lotstring,690,10,7474
92,Ventosanzap,882,7,3860
93,Span,779,5,4860
94,Asoka,840,1,2594
95,Stringtough,24,3,6091
96,Otcom,109,7,7934
97,Opela,221,1,4908
98,Trippledex,969,2,5483
99,Opela,234,4,7060
100,Daltfresh,571,6,3380
