memoID,clientID,itemID,dateProcessed,amountPaid,quantity
1,30,41,13122020,70,214
2,29,72,17052020,560,128
3,2,50,24012020,224,698
4,3,11,07082020,350,159
5,13,55,15042020,121,675
6,2,42,24122020,873,11
7,6,68,29022020,971,449
8,21,52,20032020,73,203
9,35,56,12092020,969,596
10,28,32,17052020,781,481
11,21,19,08012020,415,564
12,16,28,14022020,238,672
13,1,50,16122020,201,388
14,5,47,10122020,474,143
15,13,37,25022020,26,822
16,37,90,08072020,709,341
17,10,78,16052020,101,127
18,9,36,22042020,965,94
19,1,98,17072020,725,701
20,26,24,30122019,196,868
21,18,21,25092020,279,677
22,21,12,31082020,629,696
23,20,78,16032020,98,980
24,7,39,05042020,531,605
25,16,92,31072020,79,274
26,13,73,28092020,82,408
27,31,35,10072020,432,545
28,37,96,19042020,747,425
29,38,26,23052020,937,716
30,17,67,18042020,828,548
31,33,58,17052020,32,677
32,37,32,12092020,518,883
33,13,96,24092020,624,780
34,23,71,17072020,140,771
35,17,60,06072020,977,491
36,32,66,09032020,305,284
37,25,54,04052020,444,629
38,35,90,21072020,678,552
39,31,12,01102020,597,395
40,26,32,23102020,94,788
41,19,30,20032020,127,323
42,22,67,02102020,730,941
43,18,2,17022020,171,909
44,19,74,13052020,509,849
45,20,49,25042020,584,779
46,34,49,08042020,29,205
47,8,39,28122019,109,765
48,20,63,10012020,702,879
49,30,51,17052020,367,505
50,19,51,21122020,855,889
51,33,43,13092020,24,208
52,14,38,01032020,273,267
53,7,53,30012020,564,574
54,24,55,11072020,229,54
55,11,88,17052020,346,319
56,23,54,06022020,110,112
57,31,94,04042020,550,24
58,14,40,26052020,609,832
59,21,27,31082020,210,725
60,23,60,11102020,155,112
61,17,97,10102020,675,538
62,4,34,08022020,220,975
63,32,79,29032020,468,969
64,3,99,15042020,481,531
65,25,80,29102020,572,127
66,5,14,17122020,266,903
67,31,91,27042020,444,897
68,7,65,08082020,214,771
69,33,72,19122020,66,859
70,28,90,03102020,509,370
71,20,20,28012020,845,454
72,30,82,30082020,620,642
73,28,23,31082020,915,166
74,19,97,21092020,99,479
75,33,81,16032020,816,50
76,7,81,27012020,421,494
77,27,66,19062020,72,660
78,21,93,12012020,739,29
79,21,65,27032020,100,958
80,5,34,21082020,523,66
81,20,90,04082020,665,802
82,15,63,16092020,316,477
83,26,65,14102020,415,953
84,17,35,22112020,889,913
85,34,84,04052020,130,749
86,38,79,03032020,496,600
87,32,22,16102020,552,342
88,10,89,10072020,965,421
89,10,89,23082020,900,691
90,27,66,11022020,422,40
91,7,100,11112020,333,653
92,30,19,19042020,692,83
93,31,44,19032020,797,714
94,8,41,11022020,792,517
95,8,65,14092020,512,35
96,3,42,18012020,336,674
97,19,43,29112020,282,180
98,36,56,26062020,933,994
99,26,50,30052020,885,699
100,37,18,12102020,99,851
